Plant Name,Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,Drug Score,Mutagenecity,Tumerogenicity,Irritant,Drug likeliness
Andrographis paniculata,"5,2',3'-Trihydroxy-7,8-dimethoxyflavone 3'-glucoside",OC[C@H]1O[C@@H](Oc2cccc(c2O)c2cc(=O)c3c(o2)c(OC)c(cc3O)OC)[C@@H]([C@@H]([C@@H]1O)O)O,C23H24O12,492.43,35,16,0.35,6,12,6,119.1,188.51,2.79,0.8,0.07,-2.16,0.5,0.4,-3.34,2.25E-01,4.58E-04,Soluble,-4.34,2.25E-02,4.57E-05,Moderately soluble,-2.89,6.40E-01,1.30E-03,Soluble,Low,No,Yes,No,No,No,No,Yes,-8.74,2,1,1,1,3,0.17,0,0,1,5.5,0.13,Yes,yes,no,-4.11
Andrographis paniculata,"5-Hydroxy-3,7,8,2'-tetramethoxyflavone",COc1ccccc1c1oc2c(OC)c(OC)cc(c2c(=O)c1OC)O,C19H18O7,358.34,26,16,0.21,5,7,1,95.91,87.36,3.44,3.47,3.2,0.4,3.66,2.83,-4.37,1.52E-02,4.23E-05,Moderately soluble,-4.99,3.70E-03,1.03E-05,Moderately soluble,-6.02,3.43E-04,9.57E-07,Poorly soluble,High,No,No,Yes,No,Yes,Yes,Yes,-6.02,0,0,0,0,0,0.55,0,0,1,3.78,0.23,Yes,yes,no,0.34
Andrographis paniculata,"5-Hydroxy-7,8-dimethoxyflavanone",COc1c(OC)cc(c2c1O[C@H](CC2=O)c1ccccc1)O,C17H16O5,300.31,22,12,0.24,3,5,1,80.51,64.99,2.92,3.04,2.79,1.2,3.09,2.61,-3.82,4.52E-02,1.50E-04,Soluble,-4.07,2.55E-02,8.50E-05,Moderately soluble,-4.81,4.62E-03,1.54E-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-5.97,0,0,0,0,0,0.55,0,0,0,3.31,0.79,no,no,no,1.86
Andrographis paniculata,Andrographidin A,OC[C@H]1O[C@@H](Oc2cc(OC)c(c3c2C(=O)C[C@H](O3)c2ccccc2)OC)[C@@H]([C@H]([C@@H]1O)O)O,C23H26O10,462.45,33,12,0.43,6,10,4,112.63,144.14,2.5,0.69,0.26,-0.99,0.97,0.69,-3.01,4.47E-01,9.66E-04,Soluble,-3.29,2.35E-01,5.08E-04,Soluble,-3.08,3.82E-01,8.26E-04,Soluble,Low,No,Yes,No,No,No,No,No,-8.63,0,0,1,1,0,0.55,0,0,1,5.33,             O.34,no,no,no,-1.92
Andrographis paniculata,Paniculide A,CC(=CCCC1=C2[C@@H](OC1=O)C[C@@]1([C@H]([C@H]2O)O1)C)C,C15H20O4,264.32,19,0,0.67,3,4,1,70.5,59.06,2.88,1.26,1.88,1.62,2.78,2.08,-2.07,2.23E+00,8.42E-03,Soluble,-2.1,2.10E+00,7.96E-03,Soluble,-2.22,1.60E+00,6.07E-03,Soluble,High,Yes,No,No,No,No,No,No,-7.02,0,0,0,0,0,0.55,0,2,0,4.59,0.4,Yes,no,no,-0.21
Andrographis paniculata,Paniculide B,OC[C@]12C[C@@H]3OC(=O)C(=C3[C@@H]([C@@H]2O1)O)CCC=C(C)C,C15H20O5,280.32,20,0,0.67,4,5,2,71.66,79.29,2.29,0.21,0.85,0.79,2.17,1.26,-1.45,1.00E+01,3.58E-02,Very soluble,-1.43,1.03E+01,3.68E-02,Very soluble,-1.66,6.20E+00,2.21E-02,Soluble,High,No,Yes,No,No,No,No,No,-7.86,0,0,0,0,0,0.55,0,2,0,4.64,0.29,Yes,no,no,-4.22
Andrographis paniculata,Paniculide C,OC[C@]12C[C@@H]3OC(=O)C(=C3C(=O)[C@@H]2O1)CCC=C(C)C,C15H18O5,278.3,20,0,0.6,4,5,1,70.7,76.13,2.31,1,1.06,0.7,2.76,1.56,-1.93,3.26E+00,1.17E-02,Very soluble,-2.19,1.81E+00,6.49E-03,Soluble,-2.35,1.24E+00,4.47E-03,Soluble,High,No,No,No,No,No,No,No,-7.29,0,0,0,0,0,0.55,0,2,0,4.37,0.29,NO,no,yes,-4.31
Andrographis paniculata,"5-Hydroxy-7,2',6'-trimethoxyflavone",COc1cc(O)c2c(c1)oc(cc2=O)c1c(OC)cccc1OC,C18H16O6,328.32,24,16,0.17,4,6,1,89.42,78.13,3.38,3.79,3.19,0.7,3.6,2.93,-4.49,1.06E-02,3.22E-05,Moderately soluble,-5.12,2.46E-03,7.50E-06,Moderately soluble,-5.91,4.03E-04,1.23E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-5.61,0,0,0,0,0,0.55,0,0,1,3.4,0.7,NO,no,no,0.98
Andrographis paniculata,"Skullcapflavone 1,2'-O-beta-D-glucopyranoside",OC[C@H]1O[C@@H](Oc2ccccc2c2cc(=O)c3c(o2)c(OC)c(cc3O)OC)[C@@H]([C@H]([C@@H]1O)O)O,C23H24O11,476.43,34,16,0.35,6,11,5,117.07,168.28,2.51,1.16,0.36,-1.67,0.97,0.67,-3.48,1.59E-01,3.34E-04,Soluble,-4.29,2.45E-02,5.14E-05,Moderately soluble,-3.48,1.58E-01,3.33E-04,Soluble,Low,No,Yes,No,No,No,No,Yes,-8.38,1,0,1,1,2,0.55,0,0,1,5.53,0.15,Yes,yes,no,-2.07
Andrographis paniculata,Dihydroskullcap flavone I,COc1c(OC)cc(c2c1O[C@@H](CC2=O)c1ccccc1O)O,C17H16O6,316.31,23,12,0.24,3,6,2,82.53,85.22,2.52,2.69,2.5,0.66,2.61,2.19,-3.68,6.55E-02,2.07E-04,Soluble,-4.13,2.33E-02,7.38E-05,Moderately soluble,-4.23,1.86E-02,5.89E-05,Moderately soluble,High,No,Yes,Yes,No,No,No,Yes,-6.32,0,0,0,0,0,0.55,0,0,0,3.38,0.66,no,no,no,0.08
Andrographis paniculata,14-Deoxyandrographolide,OC[C@]1(C)[C@H](O)CC[C@]2([C@@H]1CCC(=C)[C@H]2CCC1=CCOC1=O)C,C20H30O4,334.45,24,0,0.75,4,4,2,94.05,66.76,3.15,3.43,2.99,2.81,3.72,3.22,-3.81,5.17E-02,1.55E-04,Soluble,-4.51,1.03E-02,3.07E-05,Moderately soluble,-3.63,7.89E-02,2.36E-04,Soluble,High,Yes,No,No,No,Yes,No,No,-5.9,0,0,0,0,0,0.55,0,1,0,4.82,0.25,no,no,yes,-4.83
Andrographis paniculata,Ninandrographolide,OC[C@H]1O[C@@H](OC[C@]2(C)[C@H](O)CC[C@]3([C@@H]2CCC(=C)[C@H]3CCC2=CCOC2=O)C)[C@H]([C@H]([C@@H]1O)O)O,C26H40O9,496.59,35,0,0.81,7,9,5,126.44,145.91,3.28,1.28,0.82,0.48,1.67,1.5,-3.26,2.71E-01,5.45E-04,Soluble,-3.94,5.65E-02,1.14E-04,Soluble,-1.88,6.56E+00,1.32E-02,Soluble,Low,No,Yes,No,No,No,No,No,-8.42,0,2,1,1,0,0.55,0,1,1,6.46,0.21,no,no,yes,-4.79
Andrographis paniculata,"14-Deoxy-11,14-didehydroandrographolide",OC[C@]1(C)[C@H](O)CC[C@@]2([C@@H]1CCC(=C)[C@H]2/C=C/C1=CCOC1=O)C,C20H28O4,332.43,24,0,0.65,3,4,2,93.58,66.76,3.07,3.23,2.77,2.72,3.54,3.07,-3.74,6.08E-02,1.83E-04,Soluble,-4.3,1.65E-02,4.96E-05,Moderately soluble,-2.91,4.10E-01,1.23E-03,Soluble,High,Yes,No,No,No,Yes,No,Yes,-6.03,0,0,0,0,0,0.55,0,1,0,5.29,0.26,no,no,yes,-4.9
Andrographis paniculata,14-Deoxy-11-oxoandrographolide,OC[C@]1(C)[C@H](O)CC[C@@]2([C@@H]1CCC(=C)[C@H]2C(=O)CC1=CCOC1=O)C,C20H28O5,348.43,25,0,0.7,4,5,2,94.25,83.83,2.56,2.13,2.17,1.89,3.27,2.4,-3.08,2.91E-01,8.35E-04,Soluble,-3.52,1.05E-01,3.01E-04,Soluble,-3.16,2.40E-01,6.89E-04,Soluble,High,No,Yes,No,No,No,No,No,-6.91,0,0,0,0,0,0.55,0,1,0,4.95,0.26,no,no,yes,-4.39
Andrographis paniculata,Andrograpanin,OC[C@]1(C)CCC[C@@]2([C@@H]1CCC(=C)[C@H]2CCC1=CCOC1=O)C,C20H30O3,318.45,23,0,0.75,4,3,1,92.89,46.53,3.25,4.22,4.02,3.66,4.62,3.95,-4.21,1.97E-02,6.18E-05,Moderately soluble,-4.91,3.94E-03,1.24E-05,Moderately soluble,-4.44,1.15E-02,3.61E-05,Moderately soluble,High,Yes,No,No,Yes,Yes,No,No,-5.25,0,0,0,0,0,0.55,0,1,1,4.63,0.23,no,no,yes,-10.9
Andrographis paniculata,Neoandrographolide,OC[C@H]1O[C@@H](OC[C@]2(C)CCC[C@@]3([C@@H]2CCC(=C)[C@H]3CCC2=CCOC2=O)C)[C@@H]([C@H]([C@H]1O)O)O,C26H40O8,480.59,34,0,0.81,7,8,4,125.27,125.68,3.28,2.63,1.85,1.26,2.55,2.31,-4.01,4.65E-02,9.67E-05,Moderately soluble,-4.92,5.78E-03,1.20E-05,Moderately soluble,-2.7,9.54E-01,1.99E-03,Soluble,High,No,Yes,No,No,No,No,Yes,-7.36,0,2,0,0,0,0.55,0,1,1,6.36,0.21,no,no,yes,-7.37
Andrographis paniculata,Andrographolide,OC[C@]1(C)[C@H](O)CC[C@@]2([C@@H]1CCC(=C)[C@H]2C/C=C/1\[C@H](O)COC1=O)C,C20H30O5,350.45,25,0,0.75,3,5,3,95.21,86.99,2.61,2.16,1.96,1.98,2.94,2.33,-3.18,2.34E-01,6.67E-04,Soluble,-3.62,8.42E-02,2.40E-04,Soluble,-2.69,7.22E-01,2.06E-03,Soluble,High,No,Yes,No,No,No,No,No,-6.9,0,0,0,0,0,0.55,0,2,1,5.06,0.43,no,no,no,-4.59
Andrographis paniculata,Andrographic acid,OC[C@]1(C)[C@H](O)CC[C@]2([C@@H]1CCC(=C)[C@H]2/C=C/C(=C/C(=O)O)/C(=O)O)C,C20H28O6,364.43,26,0,0.6,5,6,4,97.95,115.06,1.77,2.57,2.38,1.8,2.26,2.16,-3.39,1.49E-01,4.09E-04,Soluble,-4.63,8.46E-03,2.32E-05,Moderately soluble,-1.24,2.12E+01,5.81E-02,Soluble,High,No,Yes,No,No,No,No,No,-6.7,0,0,0,0,0,0.56,0,3,1,5.37,0.43,no,no,no,-4.6
Andrographis paniculata,"14-Acetyl-3,19-isopropylideneandrographolide",CC(=O)O[C@@H]1COC(=O)/C/1=C/C[C@@H]1C(=C)CC[C@H]2[C@]1(C)CC[C@@H]1[C@@]2(C)COC(O1)(C)C,C25H36O6,432.55,31,0,0.76,4,6,0,117.14,71.06,3.54,3.75,4.33,3.37,4.74,3.94,-4.62,1.04E-02,2.40E-05,Moderately soluble,-4.93,5.03E-03,1.16E-05,Moderately soluble,-4.81,6.71E-03,1.55E-05,Moderately soluble,High,Yes,No,No,No,Yes,No,No,-6.28,0,0,0,0,0,0.55,0,3,2,5.76,0.32,no,no,no,-4.04
Andrographis paniculata,Cinnamic acid,OC(=O)/C=C/c1ccccc1,C9H8O2,148.16,11,6,0,2,2,1,43.11,37.3,1.55,2.13,1.68,1.9,1.7,1.79,-2.37,6.29E-01,4.25E-03,Soluble,-2.54,4.23E-01,2.85E-03,Soluble,-1.84,2.14E+00,1.45E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.69,0,2,0,0,1,0.85,0,1,1,1.67,0.36,no,no,yes,-1.1
Andrographis paniculata,14-Acetylandrographolide,OC[C@]1(C)[C@H](O)CC[C@]2([C@@H]1CCC(=C)[C@H]2C/C=C/1\[C@@H](COC1=O)OC(=O)C)C,C22H32O6,392.49,28,0,0.73,5,6,2,104.95,93.06,2.75,2.74,2.53,2.33,3.44,2.76,-3.67,8.40E-02,2.14E-04,Soluble,-4.35,1.76E-02,4.48E-05,Moderately soluble,-3.31,1.94E-01,4.95E-04,Soluble,High,No,Yes,No,No,No,No,Yes,-6.75,0,0,0,0,0,0.55,0,3,1,5.3,0.4,no,no,no,-4.37
Andrographis paniculata,"5,7,2',3'-Tetramethoxyflavanone",COc1cc2O[C@@H](CC(=O)c2c(c1)OC)c1cccc(c1OC)OC,C19H20O6,344.36,25,12,0.32,5,6,0,91.47,63.22,3.23,2.79,3.1,1.13,3.67,2.79,-3.76,6.01E-02,1.75E-04,Soluble,-3.77,5.79E-02,1.68E-04,Soluble,-5.62,8.30E-04,2.41E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-6.42,0,0,0,0,0,0.55,0,0,0,3.62,0.68,no,no,no,0.88
Andrographis paniculata,"12R,13R-Hydroxyandrographolide",OC[C@@]1(C)[C@H](O)CC[C@]2([C@@H]1CCC(=C)[C@H]2C[C@H]([C@@H]1[C@H](O)COC1=O)O)C,C20H32O6,368.46,26,0,0.85,4,6,4,96.85,107.22,2.58,1.93,1.01,1.26,2.07,1.77,-3.08,3.09E-01,8.39E-04,Soluble,-3.81,5.77E-02,1.56E-04,Soluble,-1.89,4.79E+00,1.30E-02,Soluble,High,No,Yes,No,No,No,No,No,-7.18,0,0,0,0,0,0.55,0,1,1,4.99,0.43,no,no,no,-5.32
Andrographis paniculata,"12S,13S-Hydroxyandrographolide",OC[C@@]1(C)[C@H](O)CC[C@]2([C@@H]1CCC(=C)[C@H]2C[C@H]([C@H]1[C@H](O)COC1=O)O)C,C20H32O6,368.46,26,0,0.85,4,6,4,96.85,107.22,2.38,1.93,1.01,1.26,2.07,1.73,-3.08,3.09E-01,8.39E-04,Soluble,-3.81,5.77E-02,1.56E-04,Soluble,-1.89,4.79E+00,1.30E-02,Soluble,High,No,Yes,No,No,No,No,No,-7.18,0,0,0,0,0,0.55,0,1,1,4.99,0.43,no,no,no,-5.32
Andrographis paniculata,7R-Hydroxy-14-deoxyandrographolide,OC[C@]1(C)[C@H](O)CC[C@]2([C@@H]1C[C@@H](O)C(=C)[C@H]2CCC1=CCOC1=O)C,C20H30O5,350.45,25,0,0.75,4,5,3,95.21,86.99,2.49,2.13,1.96,1.98,2.83,2.28,-3.09,2.84E-01,8.12E-04,Soluble,-3.59,9.04E-02,2.58E-04,Soluble,-2.81,5.42E-01,1.55E-03,Soluble,High,No,Yes,No,No,No,No,No,-6.93,0,0,0,0,0,0.55,0,1,1,5.01,0.26,no,no,yes,-4.71
Andrographis paniculata,7S-Hydroxy-14-deoxyandrographolide,OC[C@]1(C)[C@H](O)CC[C@]2([C@@H]1C[C@H](O)C(=C)[C@H]2CCC1=CCOC1=O)C,C20H30O5,350.45,25,0,0.75,4,5,3,95.21,86.99,2.74,2.13,1.96,1.98,2.83,2.33,-3.09,2.84E-01,8.12E-04,Soluble,-3.59,9.04E-02,2.58E-04,Soluble,-2.81,5.42E-01,1.55E-03,Soluble,High,No,Yes,No,No,No,No,No,-6.93,0,0,0,0,0,0.55,0,1,1,5.01,0.26,no,no,yes,-4.71
Andrographis paniculata,12S-Hydroxyandrographolide,OC[C@]1(C)[C@H](O)CC[C@]2([C@@H]1CCC(=C)[C@H]2C[C@@H]([C@@H]1[C@H](O)COC1=O)O)C,C20H32O6,368.46,26,0,0.85,4,6,4,96.85,107.22,2.56,1.93,1.01,1.26,2.07,1.77,-3.08,3.09E-01,8.39E-04,Soluble,-3.81,5.77E-02,1.56E-04,Soluble,-1.89,4.79E+00,1.30E-02,Soluble,High,No,Yes,No,No,No,No,No,-7.18,0,0,0,0,0,0.55,0,1,1,4.99,0.43,no,no,no,-5.32
Andrographis paniculata,14-Deoxy-17-hydroxyandrographolide,OC[C@H]1CC[C@H]2[C@@]([C@@H]1CCC1=CCOC1=O)(C)CC[C@H]([C@@]2(C)CO)O,C20H32O5,352.47,25,0,0.85,5,5,3,95.69,86.99,3,2.83,2.04,2.07,2.84,2.56,-3.48,1.17E-01,3.33E-04,Soluble,-4.31,1.71E-02,4.85E-05,Moderately soluble,-2.83,5.24E-01,1.49E-03,Soluble,High,No,Yes,No,No,No,No,No,-6.44,0,0,0,0,0,0.55,0,0,1,5.02,0.26,no,no,yes,-5.14
Andrographis paniculata,Andropanolide,OC[C@]1(C)[C@H](O)CC[C@]2([C@@H]1CCC(=C)[C@H]2C/C=C\1/[C@H](O)COC1=O)C,C20H30O5,350.45,25,0,0.75,3,5,3,95.21,86.99,2.61,2.16,1.96,1.98,2.94,2.33,-3.18,2.34E-01,6.67E-04,Soluble,-3.62,8.42E-02,2.40E-04,Soluble,-2.69,7.22E-01,2.06E-03,Soluble,High,No,Yes,No,No,No,No,No,-6.9,0,0,0,0,0,0.55,0,2,1,5.06,0.43,no,no,no,-4.59
Andrographis paniculata,isoandrographolide,OC[C@]1(C)[C@H](O)CC[C@@]2([C@@H]1CC[C@@]1([C@H]2C[C@@H](O1)C1=CCOC1=O)C)C,C20H30O5,350.45,25,0,0.85,2,5,2,93.54,75.99,2.96,2.34,2.2,2.07,2.75,2.47,-3.35,1.55E-01,4.42E-04,Soluble,-3.58,9.32E-02,2.66E-04,Soluble,-2.86,4.86E-01,1.39E-03,Soluble,High,Yes,Yes,No,No,No,No,No,-6.78,0,0,0,0,0,0.55,0,0,1,5.29,0.27,no,no,yes,-2.76
Avicennia officinalis,Geniposidic acid,OC[C@H]1O[C@H](O[C@@H]2OC=C([C@@H]3[C@H]2C(=CC3)CO)C(=O)O)[C@H]([C@H]([C@@H]1O)O)O,C16H22O10,374.34,26,0,0.69,5,10,6,82.57,166.14,1.92,-2.67,-2.32,-2.1,-2.45,-1.52,-0.15,2.66E+02,7.10E-01,Very soluble,-0.27,2.01E+02,5.38E-01,Very soluble,2.38,9.02E+04,2.41E+02,Soluble,Low,No,No,No,No,No,No,No,-10.48,1,1,1,1,3,0.11,0,1,1,5.72,0.48,no,no,no,-2.8
Justicia gendarussa,3beta-Hydroxy-20(29)-lupene,CC(=C)C1CCC2([C@H]1C1CCC3C([C@]1(C)CC2)(C)CC[C@@H]1C3(C)CCC(C1(C)C)O)C,C30H50O,426.72,31,0,0.93,1,1,1,135.14,20.23,4.72,9.87,8.02,6.92,6.82,7.27,-8.64,9.83E-07,2.30E-09,Poorly soluble,-10.22,2.58E-08,6.05E-11,Insoluble,-6.74,7.69E-05,1.80E-07,Poorly soluble,Low,No,No,No,No,No,No,No,-1.9,1,3,0,1,2,0.55,0,1,2,5.49,0.13,no,no,no,-22.1
Justicia gendarussa,Phytosterols,CC[C@H](C(C)C)CC[C@H]([C@H]1CCC2[C@]1(C)CCC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,C29H50O,414.71,30,0,0.93,6,1,1,133.23,20.23,5.07,9.34,8.02,6.73,7.04,7.24,-7.9,5.23E-06,1.26E-08,Poorly soluble,-9.67,8.90E-08,2.15E-10,Poorly soluble,-6.19,2.69E-04,6.49E-07,Poorly soluble,Low,No,No,No,No,No,No,No,-2.2,1,3,0,1,2,0.55,0,1,2,6.3,0.13,no,no,no,-4.48
Justicia gendarussa,2-(methoxymethyl)aniline,COCc1ccccc1N,C8H11NO,137.18,10,6,0.25,2,1,1,41.7,35.25,1.75,-0.06,1.27,1.21,1.43,1.12,-0.96,1.49E+01,1.08E-01,Very soluble,-0.23,8.09E+01,5.90E-01,Very soluble,-2.54,3.96E-01,2.88E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-7.18,0,1,0,0,1,0.55,0,1,1,1,0.49,no,no,no,-4.05
Justicia gendarussa,2-Aminobenzyl alcohol,OCc1ccccc1N,C7H9NO,123.15,9,6,0.14,1,1,2,36.97,46.25,1.34,-0.05,0.62,0.88,0.98,0.75,-1,1.23E+01,1.00E-01,Very soluble,-0.47,4.17E+01,3.38E-01,Very soluble,-1.82,1.86E+00,1.51E-02,Soluble,High,Yes,No,Yes,No,No,No,No,-7.09,0,3,0,0,1,0.55,0,1,1,1,0.29,Yes,no,no,-5.34
